id;user_id;name;content;content_content_type;positive_count;negative_count
1;65735;system Investment;../fake-data/blob/hipster.png;image/png;569;49572
2;84679;Developer Ireland port;../fake-data/blob/hipster.png;image/png;26535;75935
3;10493;instruction Krona;../fake-data/blob/hipster.png;image/png;26748;99274
4;52243;Cambridgeshire;../fake-data/blob/hipster.png;image/png;28911;51605
5;55617;incentivize gold;../fake-data/blob/hipster.png;image/png;76128;67592
6;89399;Carolina;../fake-data/blob/hipster.png;image/png;56127;33323
7;28516;Music Team-oriented;../fake-data/blob/hipster.png;image/png;60855;86762
8;12732;red Manager;../fake-data/blob/hipster.png;image/png;83585;49307
9;17873;Cotton Island back-end;../fake-data/blob/hipster.png;image/png;49905;81936
10;90387;Operations Integration Buckinghamshire;../fake-data/blob/hipster.png;image/png;47586;87894
